color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,,20,22,,271,Soleil Moon Frye,870,,Comedy|Family|Fantasy,Nate Richert,"Sabrina, the Teenage Witch             ",24420,2433,Caroline Rhea,1,female protagonist|hereditary gift of witchcraft|magic|supernatural|witch,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,English,USA,TV-G,3000000,,558,6.6,1.33,990
Color,Mike Nichols,212,98,0,23,Julia Roberts,20000,33987757,Drama|Romance,Natalie Portman,Closer ,168314,28027,Colin Stinton,2,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,903,English,USA,R,27000000,2004,8000,7.3,1.85,12000
Color,James Mather,289,95,4,80,Vincent Regan,788,14291570,Action|Adventure|Sci-Fi|Thriller,Joseph Gilgun,Lockout ,82082,1414,Jacky Ido,2,bodyguard|maximum security prison|outer space|president|prison,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,English,France,PG-13,20000000,2012,447,6.1,2.35,10000
Color,Jonathan Levine,452,98,129,7,Vincent Leclerc,303,66359959,Comedy|Horror|Romance,Cory Hardrict,Warm Bodies ,184641,337,Daniel Rindress-Kay,0,fight|memory|teenager|undead|zombie,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,326,English,USA,PG-13,35000000,2013,18,6.9,2.35,81000
Color,Greg Mottola,248,107,99,452,Martin Starr,17000,16025394,Comedy|Drama|Romance,Kristen Stewart,Adventureland ,131180,18983,Wendie Malick,6,amusement park|strong female character|summer job|teen movie|teenager,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220,English,USA,R,,2009,985,6.8,1.85,0
Color,David Hayter,59,91,512,413,Jennifer Hale,11000,,Action|Horror,Jason Momoa,Wolves ,5693,13545,Stephen McHattie,2,bar|female nudity|murder|small town|werewolf,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,34,English,France,R,18000000,2014,918,5.3,2.35,0
Color,Robert Rodriguez,66,93,0,717,Kristin Davis,12000,39177541,Action|Adventure|Family|Fantasy,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,Taylor Dooley,1,boy|bully|dream|dream sequence|planet,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,177,English,USA,PG,50000000,2005,722,3.5,1.85,0
Color,Shyam Madiraju,5,90,0,708,Ethan Peck,1000,,Drama|Thriller,Jessica Lowndes,Eden ,1351,3799,Brad Schmidt,2,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,English,Spain,R,,2015,800,4.8,,452
Color,Brett Ratner,127,90,420,141,John Lone,191,226138454,Action|Comedy|Crime|Thriller,Mei Melançon,Rush Hour 2 ,160440,664,Harris Yulin,2,boat|gang|hong kong|triad|vacation,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,394,English,USA,PG-13,90000000,2001,165,6.6,2.35,0
Color,David Fincher,568,149,21000,625,Sela Ward,835,167735396,Crime|Drama|Mystery|Thriller,Patrick Fugit,Gone Girl ,569841,4348,Emily Ratajkowski,0,based on novel|disappearance|missing person|missing wife|murder suspect,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,English,USA,R,61000000,2014,812,8.1,2.35,146000
